#Release 14.7 - par P.20131013 (lin64)
#Copyright (c) 1995-2013 Xilinx, Inc.  All rights reserved.

#Tue May 15 22:00:01 2018

#
## NOTE: This file is designed to be imported into a spreadsheet program
# such as Microsoft Excel for viewing, printing and sorting. The |
# character is used as the data field separator. This file is also designed
# to support parsing.
#
#INPUT FILE:       orion2010_map.ncd
#OUTPUT FILE:      orion2010_pad.csv
#PART TYPE:        xc6slx9
#SPEED GRADE:      -2
#PACKAGE:          tqg144
#
# Pinout by Pin Number:
# 
# -----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
Pin Number,Signal Name,Pin Usage,Pin Name,Direction,IO Standard,IO Bank Number,Drive (mA),Slew Rate,Termination,IOB Delay,Voltage,Constraint,IO Register,Signal Integrity,
P57,,IOBS,IO_L14N_D12_2,UNUSED,,2,,,,,,,,,
P58,,IOBM,IO_L14P_D11_2,UNUSED,,2,,,,,,,,,
P59,SD_DAT3,IOB,IO_L13N_D10_2,OUTPUT,LVTTL,2,12,SLOW,,,,LOCATED,NO,NONE,
P60,,IOBM,IO_L13P_M1_2,UNUSED,,2,,,,,,,,,
P61,,IOBS,IO_L12N_D2_MISO3_2,UNUSED,,2,,,,,,,,,
P62,,IOBM,IO_L12P_D1_MISO2_2,UNUSED,,2,,,,,,,,,
P63,,,VCCO_2,,,2,,,,,3.30,,,,
P64,,IOBS,IO_L3N_MOSI_CSI_B_MISO0_2,UNUSED,,2,,,,,,,,,
P65,,IOBM,IO_L3P_D0_DIN_MISO_MISO1_2,UNUSED,,2,,,,,,,,,
P66,STD_N,IOB,IO_L2N_CMPMOSI_2,OUTPUT,LVTTL,2,12,SLOW,,,,LOCATED,NO,NONE,
P67,STD_B_N,IOB,IO_L2P_CMPCLK_2,OUTPUT,LVTTL,2,12,SLOW,,,,LOCATED,NO,NONE,
P68,,,GND,,,,,,,,,,,,
P69,,IOBS,IO_L1N_M0_CMPMISO_2,UNUSED,,2,,,,,,,,,
P70,,IOBM,IO_L1P_CCLK_2,UNUSED,,2,,,,,,,,,
P71,,,DONE_2,,,,,,,,,,,,
P72,,,CMPCS_B_2,,,,,,,,,,,,
P73,,,SUSPEND,,,,,,,,,,,,
P74,SD_CMD,IOB,IO_L74N_DOUT_BUSY_1,OUTPUT,LVTTL,1,12,SLOW,,,,LOCATED,NO,NONE,
P75,SD_CLK,IOB,IO_L74P_AWAKE_1,OUTPUT,LVTTL,1,12,SLOW,,,,LOCATED,NO,NONE,
P76,,,VCCO_1,,,1,,,,,3.30,,,,
P77,,,GND,,,,,,,,,,,,
P78,SD_DAT,IOB,IO_L47N_1,INPUT,LVTTL,1,,,,NONE,,LOCATED,NO,NONE,
P79,VGA_R<0>,IOB,IO_L47P_1,OUTPUT,LVTTL,1,12,SLOW,,,,LOCATED,NO,NONE,
P80,VGA_R<1>,IOB,IO_L46N_1,OUTPUT,LVTTL,1,12,SLOW,,,,LOCATED,NO,NONE,
P81,VGA_R<2>,IOB,IO_L46P_1,OUTPUT,LVTTL,1,12,SLOW,,,,LOCATED,NO,NONE,
P82,VGA_G<0>,IOB,IO_L45N_1,OUTPUT,LVTTL,1,12,SLOW,,,,LOCATED,NO,NONE,
P83,VGA_G<1>,IOB,IO_L45P_1,OUTPUT,LVTTL,1,12,SLOW,,,,LOCATED,NO,NONE,
P84,VGA_G<2>,IOB,IO_L43N_GCLK4_1,OUTPUT,LVTTL,1,12,SLOW,,,,LOCATED,NO,NONE,
P85,VGA_VS,IOB,IO_L43P_GCLK5_1,OUTPUT,LVTTL,1,12,SLOW,,,,LOCATED,NO,NONE,
P86,,,VCCO_1,,,1,,,,,3.30,,,,
P87,VGA_HS,IOB,IO_L42N_GCLK6_TRDY1_1,OUTPUT,LVTTL,1,12,SLOW,,,,LOCATED,NO,NONE,
P88,VGA_B<0>,IOB,IO_L42P_GCLK7_1,OUTPUT,LVTTL,1,12,SLOW,,,,LOCATED,NO,NONE,
P89,,,VCCINT,,,,,,,,1.2,,,,
P90,,,VCCAUX,,,,,,,,2.5,,,,
P91,,,GND,,,,,,,,,,,,
P92,VGA_B<1>,IOB,IO_L41N_GCLK8_1,OUTPUT,LVTTL,1,12,SLOW,,,,LOCATED,NO,NONE,
P93,VGA_B<2>,IOB,IO_L41P_GCLK9_IRDY1_1,OUTPUT,LVTTL,1,12,SLOW,,,,LOCATED,NO,NONE,
P94,,IOBS,IO_L40N_GCLK10_1,UNUSED,,1,,,,,,,,,
P95,,IOBM,IO_L40P_GCLK11_1,UNUSED,,1,,,,,,,,,
P96,,,GND,,,,,,,,,,,,
P97,,IOBS,IO_L34N_1,UNUSED,,1,,,,,,,,,
P98,PS2_DAT,IOB,IO_L34P_1,INPUT,LVTTL,1,,,,NONE,,LOCATED,NO,NONE,
P99,PS2_CLK,IOB,IO_L33N_1,INPUT,LVTTL,1,,,,NONE,,LOCATED,NO,NONE,
P100,SRAM_ADDR<13>,IOB,IO_L33P_1,OUTPUT,LVTTL,1,12,SLOW,,,,LOCATED,NO,NONE,
P101,SRAM_ADDR<12>,IOB,IO_L32N_1,OUTPUT,LVTTL,1,12,SLOW,,,,LOCATED,NO,NONE,
P102,SRAM_ADDR<11>,IOB,IO_L32P_1,OUTPUT,LVTTL,1,12,SLOW,,,,LOCATED,NO,NONE,
P103,,,VCCO_1,,,1,,,,,3.30,,,,
P104,SRAM_ADDR<10>,IOB,IO_L1N_VREF_1,OUTPUT,LVTTL,1,12,SLOW,,,,LOCATED,NO,NONE,
P105,SRAM_ADDR<19>,IOB,IO_L1P_1,OUTPUT,LVTTL,1,12,SLOW,,,,LOCATED,NO,NONE,
P106,,,TDO,,,,,,,,,,,,
P107,,,TMS,,,,,,,,,,,,
P108,,,GND,,,,,,,,,,,,
P109,,,TCK,,,,,,,,,,,,
P110,,,TDI,,,,,,,,,,,,
P111,SRAM_ADDR<14>,IOB,IO_L66N_SCP0_0,OUTPUT,LVTTL,0,12,SLOW,,,,LOCATED,NO,NONE,
P112,SRAM_ADDR<9>,IOB,IO_L66P_SCP1_0,OUTPUT,LVTTL,0,12,SLOW,,,,LOCATED,NO,NONE,
P113,,,GND,,,,,,,,,,,,
P114,SRAM_ADDR<8>,IOB,IO_L65N_SCP2_0,OUTPUT,LVTTL,0,12,SLOW,,,,LOCATED,NO,NONE,
P115,SRAM_DQ<4>,IOB,IO_L65P_SCP3_0,BIDIR,LVTTL,0,12,SLOW,,NONE,,LOCATED,NO,NONE,
P116,SRAM_ADDR<7>,IOB,IO_L64N_SCP4_0,OUTPUT,LVTTL,0,12,SLOW,,,,LOCATED,NO,NONE,
P117,SRAM_DQ<5>,IOB,IO_L64P_SCP5_0,BIDIR,LVTTL,0,12,SLOW,,NONE,,LOCATED,NO,NONE,
P118,SRAM_ADDR<6>,IOB,IO_L63N_SCP6_0,OUTPUT,LVTTL,0,12,SLOW,,,,LOCATED,NO,NONE,
P119,SRAM_DQ<6>,IOB,IO_L63P_SCP7_0,BIDIR,LVTTL,0,12,SLOW,,NONE,,LOCATED,NO,NONE,
P120,SRAM_ADDR<5>,IOB,IO_L62N_VREF_0,OUTPUT,LVTTL,0,12,SLOW,,,,LOCATED,NO,NONE,
P121,SRAM_WE_N,IOB,IO_L62P_0,OUTPUT,LVTTL,0,12,SLOW,,,,LOCATED,NO,NONE,
P122,,,VCCO_0,,,0,,,,,3.30,,,,
P123,SRAM_DQ<3>,IOB,IO_L37N_GCLK12_0,BIDIR,LVTTL,0,12,SLOW,,NONE,,LOCATED,NO,NONE,
P124,SRAM_DQ<2>,IOB,IO_L37P_GCLK13_0,BIDIR,LVTTL,0,12,SLOW,,NONE,,LOCATED,NO,NONE,
P125,,,VCCO_0,,,0,,,,,3.30,,,,
P126,SRAM_DQ<7>,IOB,IO_L36N_GCLK14_0,BIDIR,LVTTL,0,12,SLOW,,NONE,,LOCATED,NO,NONE,
P127,SRAM_DQ<1>,IOB,IO_L36P_GCLK15_0,BIDIR,LVTTL,0,12,SLOW,,NONE,,LOCATED,NO,NONE,
P128,,,VCCINT,,,,,,,,1.2,,,,
P129,,,VCCAUX,,,,,,,,2.5,,,,
P130,,,GND,,,,,,,,,,,,
P131,SRAM_ADDR<15>,IOB,IO_L35N_GCLK16_0,OUTPUT,LVTTL,0,12,SLOW,,,,LOCATED,NO,NONE,
P132,SRAM_DQ<0>,IOB,IO_L35P_GCLK17_0,BIDIR,LVTTL,0,12,SLOW,,NONE,,LOCATED,NO,NONE,
P133,SRAM_ADDR<4>,IOB,IO_L34N_GCLK18_0,OUTPUT,LVTTL,0,12,SLOW,,,,LOCATED,NO,NONE,
P134,SRAM_ADDR<3>,IOB,IO_L34P_GCLK19_0,OUTPUT,LVTTL,0,12,SLOW,,,,LOCATED,NO,NONE,
P135,,,VCCO_0,,,0,,,,,3.30,,,,
P136,,,GND,,,,,,,,,,,,
P137,SRAM_ADDR<2>,IOB,IO_L4N_0,OUTPUT,LVTTL,0,12,SLOW,,,,LOCATED,NO,NONE,
P138,SRAM_ADDR<16>,IOB,IO_L4P_0,OUTPUT,LVTTL,0,12,SLOW,,,,LOCATED,NO,NONE,
P139,SRAM_ADDR<1>,IOB,IO_L3N_0,OUTPUT,LVTTL,0,12,SLOW,,,,LOCATED,NO,NONE,
P140,SRAM_ADDR<17>,IOB,IO_L3P_0,OUTPUT,LVTTL,0,12,SLOW,,,,LOCATED,NO,NONE,
P141,SRAM_ADDR<0>,IOB,IO_L2N_0,OUTPUT,LVTTL,0,12,SLOW,,,,LOCATED,NO,NONE,
P142,SRAM_ADDR<18>,IOB,IO_L2P_0,OUTPUT,LVTTL,0,12,SLOW,,,,LOCATED,NO,NONE,
P143,SRAM_ADDR<20>,IOB,IO_L1N_VREF_0,OUTPUT,LVTTL,0,12,SLOW,,,,LOCATED,NO,NONE,
P144,SRAM_CE_N,IOB,IO_L1P_HSWAPEN_0,OUTPUT,LVTTL,0,12,SLOW,,,,LOCATED,NO,NONE,

# -----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
# 
#* Default value.
#** This default Pullup/Pulldown value can be overridden in Bitgen. 
#****** Special VCCO requirements may apply. Please consult the device 
#       family datasheet for specific guideline on VCCO requirements. 
#
#
#
